#! p_miss[f,0]/   x_bj[f,1]/   w[f,2]/  Ee_f[f,3]/   Ep_f[f,4]/   En_f[f,5]/   P_p[f,6]/   q[f,7]/   theta_q[f,8]/  theta_e[f,9]/   theta_p[f,10]/   theta_nq[f,11]/   theta_pq[f,12]/      Q_sqrd[f,13] 
0.5     1.349    1.67887    8.92113    2.49016    1.06432   2.30663    2.65869    45.0192    12.1695    53.2408    41.2778    8.22164    4.25
0.5     1.35    1.67763    8.92237    2.48892    1.06432   2.30529    2.6579    45.0402    12.1686    53.2526    41.1925    8.21241    4.25
0.5     1.351    1.67639    8.92361    2.48768    1.06432   2.30395    2.65712    45.0611    12.1677    53.2643    41.1071    8.20313    4.25
0.51     1.349    1.67887    8.92113    2.48543    1.06906   2.30152    2.65869    45.0192    12.1695    53.4591    41.4793    8.43988    4.25
0.51     1.35    1.67763    8.92237    2.48419    1.06906   2.30018    2.6579    45.0402    12.1686    53.471    41.3961    8.43086    4.25
0.51     1.351    1.67639    8.92361    2.48294    1.06906   2.29884    2.65712    45.0611    12.1677    53.4829    41.3128    8.4218    4.25
0.52     1.349    1.67887    8.92113    2.48062    1.07386   2.29633    2.65869    45.0192    12.1695    53.6757    41.6563    8.65656    4.25
0.52     1.35    1.67763    8.92237    2.47938    1.07386   2.29499    2.6579    45.0402    12.1686    53.6879    41.575    8.64774    4.25
0.52     1.351    1.67639    8.92361    2.47814    1.07386   2.29365    2.65712    45.0611    12.1677    53.7    41.4937    8.63887    4.25
0.53     1.349    1.67887    8.92113    2.47575    1.07874   2.29106    2.65869    45.0192    12.1695    53.891    41.8106    8.87176    4.25
0.53     1.35    1.67763    8.92237    2.4745    1.07874   2.28972    2.6579    45.0402    12.1686    53.9033    41.7312    8.86313    4.25
0.53     1.351    1.67639    8.92361    2.47326    1.07874   2.28838    2.65712    45.0611    12.1677    53.9156    41.6517    8.85446    4.25
0.54     1.349    1.67887    8.92113    2.4708    1.08369   2.28571    2.65869    45.0192    12.1695    54.1048    41.9439    9.08561    4.25
0.54     1.35    1.67763    8.92237    2.46955    1.08369   2.28437    2.6579    45.0402    12.1686    54.1173    41.8661    9.07716    4.25
0.54     1.351    1.67639    8.92361    2.46831    1.08369   2.28303    2.65712    45.0611    12.1677    54.1298    41.7884    9.06866    4.25
0.55     1.349    1.67887    8.92113    2.46578    1.08871   2.28029    2.65869    45.0192    12.1695    54.3174    42.0575    9.29818    4.25
0.55     1.35    1.67763    8.92237    2.46454    1.08871   2.27894    2.6579    45.0402    12.1686    54.3301    41.9814    9.28989    4.25
0.55     1.351    1.67639    8.92361    2.46329    1.08871   2.2776    2.65712    45.0611    12.1677    54.3427    41.9053    9.28157    4.25
0.56     1.349    1.67887    8.92113    2.46069    1.09379   2.27479    2.65869    45.0192    12.1695    54.5287    42.1529    9.50955    4.25
0.56     1.35    1.67763    8.92237    2.45945    1.09379   2.27344    2.6579    45.0402    12.1686    54.5416    42.0784    9.50143    4.25
0.56     1.351    1.67639    8.92361    2.45821    1.09379   2.2721    2.65712    45.0611    12.1677    54.5544    42.0038    9.49326    4.25
0.57     1.349    1.67887    8.92113    2.45554    1.09895   2.26921    2.65869    45.0192    12.1695    54.739    42.2313    9.71981    4.25
0.57     1.35    1.67763    8.92237    2.4543    1.09895   2.26787    2.6579    45.0402    12.1686    54.752    42.1583    9.71183    4.25
0.57     1.351    1.67639    8.92361    2.45306    1.09895   2.26652    2.65712    45.0611    12.1677    54.765    42.0852    9.70382    4.25
0.58     1.349    1.67887    8.92113    2.45032    1.10417   2.26356    2.65869    45.0192    12.1695    54.9482    42.2938    9.929    4.25
0.58     1.35    1.67763    8.92237    2.44908    1.10417   2.26222    2.6579    45.0402    12.1686    54.9613    42.2222    9.92117    4.25
0.58     1.351    1.67639    8.92361    2.44784    1.10417   2.26087    2.65712    45.0611    12.1677    54.9744    42.1505    9.9133    4.25
0.59     1.349    1.67887    8.92113    2.44504    1.10945   2.25784    2.65869    45.0192    12.1695    55.1564    42.3415    10.1372    4.25
0.59     1.35    1.67763    8.92237    2.44379    1.10945   2.25649    2.6579    45.0402    12.1686    55.1697    42.2712    10.1295    4.25
0.59     1.351    1.67639    8.92361    2.44255    1.10945   2.25515    2.65712    45.0611    12.1677    55.1829    42.2009    10.1218    4.25
0.6     1.349    1.67887    8.92113    2.43968    1.1148   2.25205    2.65869    45.0192    12.1695    55.3637    42.3754    10.3445    4.25
0.6     1.35    1.67763    8.92237    2.43844    1.1148   2.2507    2.6579    45.0402    12.1686    55.3771    42.3063    10.3369    4.25
0.6     1.351    1.67639    8.92361    2.4372    1.1148   2.24935    2.65712    45.0611    12.1677    55.3905    42.2373    10.3293    4.25
0.61     1.349    1.67887    8.92113    2.43427    1.12022   2.24618    2.65869    45.0192    12.1695    55.5701    42.3962    10.5509    4.25
0.61     1.35    1.67763    8.92237    2.43303    1.12022   2.24483    2.6579    45.0402    12.1686    55.5836    42.3284    10.5434    4.25
0.61     1.351    1.67639    8.92361    2.43179    1.12022   2.24349    2.65712    45.0611    12.1677    55.5971    42.2605    10.536    4.25
0.62     1.349    1.67887    8.92113    2.42879    1.12569   2.24024    2.65869    45.0192    12.1695    55.7756    42.4049    10.7564    4.25
0.62     1.35    1.67763    8.92237    2.42755    1.12569   2.23889    2.6579    45.0402    12.1686    55.7893    42.3382    10.7491    4.25
0.62     1.351    1.67639    8.92361    2.42631    1.12569   2.23755    2.65712    45.0611    12.1677    55.8029    42.2715    10.7417    4.25
0.63     1.349    1.67887    8.92113    2.42326    1.13123   2.23424    2.65869    45.0192    12.1695    55.9804    42.4021    10.9612    4.25
0.63     1.35    1.67763    8.92237    2.42201    1.13123   2.23289    2.6579    45.0402    12.1686    55.9942    42.3365    10.954    4.25
0.63     1.351    1.67639    8.92361    2.42077    1.13123   2.23154    2.65712    45.0611    12.1677    56.0079    42.271    10.9467    4.25
0.64     1.349    1.67887    8.92113    2.41766    1.13683   2.22816    2.65869    45.0192    12.1695    56.1844    42.3885    11.1652    4.25
0.64     1.35    1.67763    8.92237    2.41641    1.13683   2.22681    2.6579    45.0402    12.1686    56.1983    42.3241    11.1581    4.25
0.64     1.351    1.67639    8.92361    2.41517    1.13683   2.22547    2.65712    45.0611    12.1677    56.2121    42.2596    11.151    4.25
0.65     1.349    1.67887    8.92113    2.412    1.14249   2.22202    2.65869    45.0192    12.1695    56.3877    42.3649    11.3685    4.25
0.65     1.35    1.67763    8.92237    2.41075    1.14249   2.22067    2.6579    45.0402    12.1686    56.4017    42.3015    11.3615    4.25
0.65     1.351    1.67639    8.92361    2.40951    1.14249   2.21932    2.65712    45.0611    12.1677    56.4156    42.238    11.3545    4.25
0.66     1.349    1.67887    8.92113    2.40628    1.14821   2.21581    2.65869    45.0192    12.1695    56.5904    42.3318    11.5712    4.25
0.66     1.35    1.67763    8.92237    2.40503    1.14821   2.21446    2.6579    45.0402    12.1686    56.6045    42.2693    11.5643    4.25
0.66     1.351    1.67639    8.92361    2.40379    1.14821   2.21311    2.65712    45.0611    12.1677    56.6185    42.2068    11.5573    4.25
0.67     1.349    1.67887    8.92113    2.4005    1.15399   2.20954    2.65869    45.0192    12.1695    56.7924    42.2898    11.7732    4.25
0.67     1.35    1.67763    8.92237    2.39926    1.15399   2.20819    2.6579    45.0402    12.1686    56.8066    42.2282    11.7664    4.25
0.67     1.351    1.67639    8.92361    2.39802    1.15399   2.20684    2.65712    45.0611    12.1677    56.8207    42.1666    11.7595    4.25
0.68     1.349    1.67887    8.92113    2.39467    1.15982   2.2032    2.65869    45.0192    12.1695    56.9938    42.2393    11.9746    4.25
0.68     1.35    1.67763    8.92237    2.39342    1.15982   2.20184    2.6579    45.0402    12.1686    57.0081    42.1786    11.9679    4.25
0.68     1.351    1.67639    8.92361    2.39218    1.15982   2.20049    2.65712    45.0611    12.1677    57.0223    42.118    11.9611    4.25
0.69     1.349    1.67887    8.92113    2.38878    1.16571   2.19679    2.65869    45.0192    12.1695    57.1946    42.1809    12.1755    4.25
0.69     1.35    1.67763    8.92237    2.38753    1.16571   2.19544    2.6579    45.0402    12.1686    57.209    42.1211    12.1688    4.25
0.69     1.351    1.67639    8.92361    2.38629    1.16571   2.19409    2.65712    45.0611    12.1677    57.2233    42.0613    12.1621    4.25
0.7     1.349    1.67887    8.92113    2.38283    1.17166   2.19032    2.65869    45.0192    12.1695    57.3949    42.115    12.3758    4.25
0.7     1.35    1.67763    8.92237    2.38158    1.17166   2.18897    2.6579    45.0402    12.1686    57.4094    42.056    12.3692    4.25
0.7     1.351    1.67639    8.92361    2.38034    1.17166   2.18762    2.65712    45.0611    12.1677    57.4237    41.9971    12.3626    4.25
0.71     1.349    1.67887    8.92113    2.37683    1.17766   2.18379    2.65869    45.0192    12.1695    57.5947    42.042    12.5755    4.25
0.71     1.35    1.67763    8.92237    2.37558    1.17766   2.18244    2.6579    45.0402    12.1686    57.6092    41.9839    12.5691    4.25
0.71     1.351    1.67639    8.92361    2.37434    1.17766   2.18109    2.65712    45.0611    12.1677    57.6237    41.9257    12.5626    4.25
0.72     1.349    1.67887    8.92113    2.37077    1.18372   2.1772    2.65869    45.0192    12.1695    57.794    41.9624    12.7748    4.25
0.72     1.35    1.67763    8.92237    2.36953    1.18372   2.17585    2.6579    45.0402    12.1686    57.8086    41.905    12.7684    4.25
0.72     1.351    1.67639    8.92361    2.36829    1.18372   2.17449    2.65712    45.0611    12.1677    57.8231    41.8476    12.762    4.25
0.73     1.349    1.67887    8.92113    2.36466    1.18982   2.17055    2.65869    45.0192    12.1695    57.9928    41.8764    12.9737    4.25
0.73     1.35    1.67763    8.92237    2.36342    1.18982   2.16919    2.6579    45.0402    12.1686    58.0075    41.8198    12.9673    4.25
0.73     1.351    1.67639    8.92361    2.36218    1.18982   2.16784    2.65712    45.0611    12.1677    58.0221    41.7632    12.961    4.25
0.74     1.349    1.67887    8.92113    2.3585    1.19599   2.16383    2.65869    45.0192    12.1695    58.1912    41.7845    13.172    4.25
0.74     1.35    1.67763    8.92237    2.35726    1.19599   2.16248    2.6579    45.0402    12.1686    58.206    41.7286    13.1658    4.25
0.74     1.351    1.67639    8.92361    2.35602    1.19599   2.16112    2.65712    45.0611    12.1677    58.2206    41.6727    13.1595    4.25
0.75     1.349    1.67887    8.92113    2.35229    1.2022   2.15706    2.65869    45.0192    12.1695    58.3892    41.687    13.37    4.25
0.75     1.35    1.67763    8.92237    2.35104    1.2022   2.1557    2.6579    45.0402    12.1686    58.404    41.6318    13.3638    4.25
0.75     1.351    1.67639    8.92361    2.3498    1.2022   2.15435    2.65712    45.0611    12.1677    58.4188    41.5766    13.3576    4.25
0.76     1.349    1.67887    8.92113    2.34602    1.20846   2.15023    2.65869    45.0192    12.1695    58.5868    41.5842    13.5676    4.25
0.76     1.35    1.67763    8.92237    2.34478    1.20846   2.14887    2.6579    45.0402    12.1686    58.6017    41.5296    13.5615    4.25
