#! p_miss[f,0]/   x_bj[f,1]/   w[f,2]/  Ee_f[f,3]/   Ep_f[f,4]/   En_f[f,5]/   P_p[f,6]/   q[f,7]/   theta_q[f,8]/  theta_e[f,9]/   theta_p[f,10]/   theta_nq[f,11]/   theta_pq[f,12]/      Q_sqrd[f,13] 
0.76     1.351    1.67639    8.92361    2.34354    1.20846   2.14751    2.65712    45.0611    12.1677    58.6165    41.475    13.5553    4.25
0.77     1.349    1.67887    8.92113    2.33971    1.21478   2.14334    2.65869    45.0192    12.1695    58.784    41.4763    13.7648    4.25
0.77     1.35    1.67763    8.92237    2.33847    1.21478   2.14198    2.6579    45.0402    12.1686    58.7989    41.4224    13.7587    4.25
0.77     1.351    1.67639    8.92361    2.33722    1.21478   2.14062    2.65712    45.0611    12.1677    58.8138    41.3684    13.7527    4.25
0.78     1.349    1.67887    8.92113    2.33335    1.22114   2.13639    2.65869    45.0192    12.1695    58.9808    41.3636    13.9617    4.25
0.78     1.35    1.67763    8.92237    2.3321    1.22114   2.13503    2.6579    45.0402    12.1686    58.9958    41.3103    13.9557    4.25
0.78     1.351    1.67639    8.92361    2.33086    1.22114   2.13367    2.65712    45.0611    12.1677    59.0108    41.257    13.9496    4.25
0.79     1.349    1.67887    8.92113    2.32694    1.22755   2.12938    2.65869    45.0192    12.1695    59.1774    41.2464    14.1582    4.25
0.79     1.35    1.67763    8.92237    2.32569    1.22755   2.12802    2.6579    45.0402    12.1686    59.1924    41.1937    14.1522    4.25
0.79     1.351    1.67639    8.92361    2.32445    1.22755   2.12667    2.65712    45.0611    12.1677    59.2074    41.141    14.1462    4.25
