#! p_miss[f,0]/    x_bj[f,1]/   w[f,2]/   E_ep[f,3]/   Ep_f[f,4]/   En_f[f,5]/   P_p[f,6]/   q[f,7]/      theta_q[f,8]/  Q2[f,9]/      theta_p[f,10]/   theta_nq[f,11]/   theta_pq[f,12]/ 
0.09                1.34993      1.6777    8.9223       2.60945      0.943866      2.43492     2.65794      40.3726         4.24997       40.4177          1.36295          0.0450135
0.09                1.35003      1.6776    8.9224       2.60935      0.943866      2.43482     2.65789      40.3726         4.25001       40.4177          1.36295          0.0450135
0.09                1.35013      1.6775    8.9225       2.60925      0.943866      2.43471     2.65783      40.3726         4.25006       40.4177          1.36295          0.0450135
0.09                1.35022      1.6774    8.9226       2.60915      0.943866      2.4346     2.65778      40.3726         4.25011       40.4177          1.36295          0.0450135
0.09                1.35032      1.6773    8.9227       2.60905      0.943866      2.4345     2.65772      40.3726         4.25016       40.4177          1.36295          0.0450135
0.09                1.35041      1.6772    8.9228       2.60895      0.943866      2.43439     2.65767      40.3726         4.25021       40.4177          1.36295          0.0450135
0.09                1.35051      1.6771    8.9229       2.60885      0.943866      2.43428     2.65762      40.3726         4.25025       40.4177          1.36295          0.0450135
0.09                1.3506      1.677    8.923       2.60875      0.943866      2.43417     2.65756      40.3726         4.2503       40.4177          1.36295          0.0450135
0.09                1.3507      1.6769    8.9231       2.60865      0.943866      2.43407     2.65751      40.3726         4.25035       40.4177          1.36295          0.0450135
0.09                1.35079      1.6768    8.9232       2.60855      0.943866      2.43396     2.65745      40.3726         4.2504       40.4177          1.36295          0.0450135
0.09                1.35089      1.6767    8.9233       2.60845      0.943866      2.43385     2.6574      40.3726         4.25044       40.4177          1.36295          0.0450135
0.09                1.35099      1.6766    8.9234       2.60835      0.943866      2.43375     2.65734      40.3726         4.25049       40.4177          1.36295          0.0450135
0.1                1.34907      1.6786    8.9214       2.60934      0.944872      2.43481     2.65843      40.6939         4.24954       40.7234          0.79548          0.0294306
0.1                1.34917      1.6785    8.9215       2.60924      0.944872      2.4347     2.65837      40.6939         4.24959       40.7234          0.79548          0.0294306
0.1                1.34927      1.6784    8.9216       2.60914      0.944872      2.4346     2.65832      40.6939         4.24963       40.7234          0.79548          0.0294306
0.1                1.34936      1.6783    8.9217       2.60904      0.944872      2.43449     2.65826      40.6939         4.24968       40.7234          0.79548          0.0294306
0.1                1.34946      1.6782    8.9218       2.60894      0.944872      2.43438     2.65821      40.6939         4.24973       40.7234          0.79548          0.0294306
0.1                1.34955      1.6781    8.9219       2.60884      0.944872      2.43427     2.65816      40.6939         4.24978       40.7234          0.79548          0.0294306
0.1                1.34965      1.678    8.922       2.60874      0.944872      2.43417     2.6581      40.6939         4.24982       40.7234          0.79548          0.0294306
0.1                1.34974      1.6779    8.9221       2.60864      0.944872      2.43406     2.65805      40.6939         4.24987       40.7234          0.79548          0.0294306
0.1                1.34984      1.6778    8.9222       2.60854      0.944872      2.43395     2.65799      40.6939         4.24992       40.7234          0.79548          0.0294306
0.1                1.34993      1.6777    8.9223       2.60844      0.944872      2.43385     2.65794      40.6939         4.24997       40.7234          0.79548          0.0294306
0.1                1.35003      1.6776    8.9224       2.60834      0.944872      2.43374     2.65789      40.6939         4.25001       40.7234          0.79548          0.0294306
0.1                1.35013      1.6775    8.9225       2.60824      0.944872      2.43363     2.65783      40.6939         4.25006       40.7234          0.79548          0.0294306
0.1                1.35022      1.6774    8.9226       2.60814      0.944872      2.43352     2.65778      40.6939         4.25011       40.7234          0.79548          0.0294306
0.1                1.35032      1.6773    8.9227       2.60804      0.944872      2.43342     2.65772      40.6939         4.25016       40.7234          0.79548          0.0294306
0.1                1.35041      1.6772    8.9228       2.60794      0.944872      2.43331     2.65767      40.6939         4.25021       40.7234          0.79548          0.0294306
0.1                1.35051      1.6771    8.9229       2.60784      0.944872      2.4332     2.65762      40.6939         4.25025       40.7234          0.79548          0.0294306
0.1                1.3506      1.677    8.923       2.60774      0.944872      2.4331     2.65756      40.6939         4.2503       40.7234          0.79548          0.0294306
0.1                1.3507      1.6769    8.9231       2.60764      0.944872      2.43299     2.65751      40.6939         4.25035       40.7234          0.79548          0.0294306
0.1                1.35079      1.6768    8.9232       2.60754      0.944872      2.43288     2.65745      40.6939         4.2504       40.7234          0.79548          0.0294306
0.1                1.35089      1.6767    8.9233       2.60744      0.944872      2.43277     2.6574      40.6939         4.25044       40.7234          0.79548          0.0294306
0.1                1.35099      1.6766    8.9234       2.60734      0.944872      2.43267     2.65734      40.6939         4.25049       40.7234          0.79548          0.0294306
0.11                1.34907      1.6786    8.9214       2.60823      0.945982      2.43362     2.65843      41.0098         4.24954       41.0311          0.520309          0.0213461
0.11                1.34917      1.6785    8.9215       2.60813      0.945982      2.43351     2.65837      41.0098         4.24959       41.0311          0.520309          0.0213461
0.11                1.34927      1.6784    8.9216       2.60803      0.945982      2.43341     2.65832      41.0098         4.24963       41.0311          0.520309          0.0213461
0.11                1.34936      1.6783    8.9217       2.60793      0.945982      2.4333     2.65826      41.0098         4.24968       41.0311          0.520309          0.0213461
0.11                1.34946      1.6782    8.9218       2.60783      0.945982      2.43319     2.65821      41.0098         4.24973       41.0311          0.520309          0.0213461
0.11                1.34955      1.6781    8.9219       2.60773      0.945982      2.43308     2.65816      41.0098         4.24978       41.0311          0.520309          0.0213461
0.11                1.34965      1.678    8.922       2.60763      0.945982      2.43298     2.6581      41.0098         4.24982       41.0311          0.520309          0.0213461
0.11                1.34974      1.6779    8.9221       2.60753      0.945982      2.43287     2.65805      41.0098         4.24987       41.0311          0.520309          0.0213461
0.11                1.34984      1.6778    8.9222       2.60743      0.945982      2.43276     2.65799      41.0098         4.24992       41.0311          0.520309          0.0213461
0.11                1.34993      1.6777    8.9223       2.60733      0.945982      2.43266     2.65794      41.0098         4.24997       41.0311          0.520309          0.0213461
0.11                1.35003      1.6776    8.9224       2.60723      0.945982      2.43255     2.65789      41.0098         4.25001       41.0311          0.520309          0.0213461
0.11                1.35013      1.6775    8.9225       2.60713      0.945982      2.43244     2.65783      41.0098         4.25006       41.0311          0.520309          0.0213461
0.11                1.35022      1.6774    8.9226       2.60703      0.945982      2.43233     2.65778      41.0098         4.25011       41.0311          0.520309          0.0213461
0.11                1.35032      1.6773    8.9227       2.60693      0.945982      2.43223     2.65772      41.0098         4.25016       41.0311          0.520309          0.0213461
0.11                1.35041      1.6772    8.9228       2.60683      0.945982      2.43212     2.65767      41.0098         4.25021       41.0311          0.520309          0.0213461
0.11                1.35051      1.6771    8.9229       2.60673      0.945982      2.43201     2.65762      41.0098         4.25025       41.0311          0.520309          0.0213461
0.11                1.3506      1.677    8.923       2.60663      0.945982      2.43191     2.65756      41.0098         4.2503       41.0311          0.520309          0.0213461
0.11                1.3507      1.6769    8.9231       2.60653      0.945982      2.4318     2.65751      41.0098         4.25035       41.0311          0.520309          0.0213461
0.11                1.35079      1.6768    8.9232       2.60643      0.945982      2.43169     2.65745      41.0098         4.2504       41.0311          0.520309          0.0213461
0.11                1.35089      1.6767    8.9233       2.60633      0.945982      2.43158     2.6574      41.0098         4.25044       41.0311          0.520309          0.0213461
0.11                1.35099      1.6766    8.9234       2.60623      0.945982      2.43148     2.65734      41.0098         4.25049       41.0311          0.520309          0.0213461
0.12                1.34907      1.6786    8.9214       2.60701      0.947197      2.43232     2.65843      41.3199         4.24954       41.3626          0.945116          0.0426351
0.12                1.34917      1.6785    8.9215       2.60691      0.947197      2.43221     2.65837      41.3199         4.24959       41.3626          0.945116          0.0426351
0.12                1.34927      1.6784    8.9216       2.60681      0.947197      2.4321     2.65832      41.3199         4.24963       41.3626          0.945116          0.0426351
0.12                1.34936      1.6783    8.9217       2.60671      0.947197      2.432     2.65826      41.3199         4.24968       41.3626          0.945116          0.0426351
0.12                1.34946      1.6782    8.9218       2.60661      0.947197      2.43189     2.65821      41.3199         4.24973       41.3626          0.945116          0.0426351
0.12                1.34955      1.6781    8.9219       2.60651      0.947197      2.43178     2.65816      41.3199         4.24978       41.3626          0.945116          0.0426351
0.12                1.34965      1.678    8.922       2.60641      0.947197      2.43168     2.6581      41.3199         4.24982       41.3626          0.945116          0.0426351
0.12                1.34974      1.6779    8.9221       2.60631      0.947197      2.43157     2.65805      41.3199         4.24987       41.3626          0.945116          0.0426351
0.12                1.34984      1.6778    8.9222       2.60621      0.947197      2.43146     2.65799      41.3199         4.24992       41.3626          0.945116          0.0426351
0.12                1.34993      1.6777    8.9223       2.60611      0.947197      2.43135     2.65794      41.3199         4.24997       41.3626          0.945116          0.0426351
0.12                1.35003      1.6776    8.9224       2.60601      0.947197      2.43125     2.65789      41.3199         4.25001       41.3626          0.945116          0.0426351
0.12                1.35013      1.6775    8.9225       2.60591      0.947197      2.43114     2.65783      41.3199         4.25006       41.3626          0.945116          0.0426351
0.12                1.35022      1.6774    8.9226       2.60581      0.947197      2.43103     2.65778      41.3199         4.25011       41.3626          0.945116          0.0426351
0.12                1.35032      1.6773    8.9227       2.60571      0.947197      2.43092     2.65772      41.3199         4.25016       41.3626          0.945116          0.0426351
0.12                1.35041      1.6772    8.9228       2.60561      0.947197      2.43082     2.65767      41.3199         4.25021       41.3626          0.945116          0.0426351
0.12                1.35051      1.6771    8.9229       2.60551      0.947197      2.43071     2.65762      41.3199         4.25025       41.3626          0.945116          0.0426351
0.12                1.3506      1.677    8.923       2.60541      0.947197      2.4306     2.65756      41.3199         4.2503       41.3626          0.945116          0.0426351
0.12                1.3507      1.6769    8.9231       2.60531      0.947197      2.4305     2.65751      41.3199         4.25035       41.3626          0.945116          0.0426351
0.12                1.35079      1.6768    8.9232       2.60521      0.947197      2.43039     2.65745      41.3199         4.2504       41.3626          0.945116          0.0426351
0.12                1.35089      1.6767    8.9233       2.60511      0.947197      2.43028     2.6574      41.3199         4.25044       41.3626          0.945116          0.0426351
0.12                1.35099      1.6766    8.9234       2.60501      0.947197      2.43017     2.65734      41.3199         4.25049       41.3626          0.945116          0.0426351
