#! p_miss[f,0]/    x_bj[f,1]/   w[f,2]/   E_ep[f,3]/   Ep_f[f,4]/   En_f[f,5]/   P_p[f,6]/   q[f,7]/      theta_q[f,8]/  Q2[f,9]/      theta_p[f,10]/   theta_nq[f,11]/   theta_pq[f,12]/ 
0.05                1.34907      1.6786    8.9214       2.61332      0.940894      2.43907     2.65843      39.0383         4.24954       39.0727          1.94239          0.0344726
0.05                1.34917      1.6785    8.9215       2.61322      0.940894      2.43897     2.65837      39.0383         4.24959       39.0727          1.94239          0.0344726
0.05                1.34927      1.6784    8.9216       2.61312      0.940894      2.43886     2.65832      39.0383         4.24963       39.0727          1.94239          0.0344726
0.05                1.34936      1.6783    8.9217       2.61302      0.940894      2.43875     2.65826      39.0383         4.24968       39.0727          1.94239          0.0344726
0.05                1.34946      1.6782    8.9218       2.61292      0.940894      2.43864     2.65821      39.0383         4.24973       39.0727          1.94239          0.0344726
0.05                1.34955      1.6781    8.9219       2.61282      0.940894      2.43854     2.65816      39.0383         4.24978       39.0727          1.94239          0.0344726
0.05                1.34965      1.678    8.922       2.61272      0.940894      2.43843     2.6581      39.0383         4.24982       39.0727          1.94239          0.0344726
0.05                1.34974      1.6779    8.9221       2.61262      0.940894      2.43832     2.65805      39.0383         4.24987       39.0727          1.94239          0.0344726
0.05                1.34984      1.6778    8.9222       2.61252      0.940894      2.43822     2.65799      39.0383         4.24992       39.0727          1.94239          0.0344726
0.05                1.34993      1.6777    8.9223       2.61242      0.940894      2.43811     2.65794      39.0383         4.24997       39.0727          1.94239          0.0344726
0.05                1.35003      1.6776    8.9224       2.61232      0.940894      2.438     2.65789      39.0383         4.25001       39.0727          1.94239          0.0344726
0.05                1.35013      1.6775    8.9225       2.61222      0.940894      2.43789     2.65783      39.0383         4.25006       39.0727          1.94239          0.0344726
0.05                1.35022      1.6774    8.9226       2.61212      0.940894      2.43779     2.65778      39.0383         4.25011       39.0727          1.94239          0.0344726
0.05                1.35032      1.6773    8.9227       2.61202      0.940894      2.43768     2.65772      39.0383         4.25016       39.0727          1.94239          0.0344726
0.05                1.35041      1.6772    8.9228       2.61192      0.940894      2.43757     2.65767      39.0383         4.25021       39.0727          1.94239          0.0344726
0.05                1.35051      1.6771    8.9229       2.61182      0.940894      2.43747     2.65762      39.0383         4.25025       39.0727          1.94239          0.0344726
0.05                1.3506      1.677    8.923       2.61172      0.940894      2.43736     2.65756      39.0383         4.2503       39.0727          1.94239          0.0344726
0.05                1.3507      1.6769    8.9231       2.61162      0.940894      2.43725     2.65751      39.0383         4.25035       39.0727          1.94239          0.0344726
0.05                1.35079      1.6768    8.9232       2.61152      0.940894      2.43714     2.65745      39.0383         4.2504       39.0727          1.94239          0.0344726
0.05                1.35089      1.6767    8.9233       2.61142      0.940894      2.43704     2.6574      39.0383         4.25044       39.0727          1.94239          0.0344726
0.05                1.35099      1.6766    8.9234       2.61132      0.940894      2.43693     2.65734      39.0383         4.25049       39.0727          1.94239          0.0344726
0.06                1.34907      1.6786    8.9214       2.61273      0.941479      2.43845     2.65843      39.3795         4.24954       39.4199          1.88168          0.0404132
0.06                1.34917      1.6785    8.9215       2.61263      0.941479      2.43834     2.65837      39.3795         4.24959       39.4199          1.88168          0.0404132
0.06                1.34927      1.6784    8.9216       2.61253      0.941479      2.43823     2.65832      39.3795         4.24963       39.4199          1.88168          0.0404132
0.06                1.34936      1.6783    8.9217       2.61243      0.941479      2.43812     2.65826      39.3795         4.24968       39.4199          1.88168          0.0404132
0.06                1.34946      1.6782    8.9218       2.61233      0.941479      2.43802     2.65821      39.3795         4.24973       39.4199          1.88168          0.0404132
0.06                1.34955      1.6781    8.9219       2.61223      0.941479      2.43791     2.65816      39.3795         4.24978       39.4199          1.88168          0.0404132
0.06                1.34965      1.678    8.922       2.61213      0.941479      2.4378     2.6581      39.3795         4.24982       39.4199          1.88168          0.0404132
0.06                1.34974      1.6779    8.9221       2.61203      0.941479      2.4377     2.65805      39.3795         4.24987       39.4199          1.88168          0.0404132
0.06                1.34984      1.6778    8.9222       2.61193      0.941479      2.43759     2.65799      39.3795         4.24992       39.4199          1.88168          0.0404132
0.06                1.34993      1.6777    8.9223       2.61183      0.941479      2.43748     2.65794      39.3795         4.24997       39.4199          1.88168          0.0404132
0.06                1.35003      1.6776    8.9224       2.61173      0.941479      2.43737     2.65789      39.3795         4.25001       39.4199          1.88168          0.0404132
0.06                1.35013      1.6775    8.9225       2.61163      0.941479      2.43727     2.65783      39.3795         4.25006       39.4199          1.88168          0.0404132
0.06                1.35022      1.6774    8.9226       2.61153      0.941479      2.43716     2.65778      39.3795         4.25011       39.4199          1.88168          0.0404132
0.06                1.35032      1.6773    8.9227       2.61143      0.941479      2.43705     2.65772      39.3795         4.25016       39.4199          1.88168          0.0404132
0.06                1.35041      1.6772    8.9228       2.61133      0.941479      2.43695     2.65767      39.3795         4.25021       39.4199          1.88168          0.0404132
0.06                1.35051      1.6771    8.9229       2.61123      0.941479      2.43684     2.65762      39.3795         4.25025       39.4199          1.88168          0.0404132
0.06                1.3506      1.677    8.923       2.61113      0.941479      2.43673     2.65756      39.3795         4.2503       39.4199          1.88168          0.0404132
0.06                1.3507      1.6769    8.9231       2.61103      0.941479      2.43662     2.65751      39.3795         4.25035       39.4199          1.88168          0.0404132
0.06                1.35079      1.6768    8.9232       2.61093      0.941479      2.43652     2.65745      39.3795         4.2504       39.4199          1.88168          0.0404132
0.06                1.35089      1.6767    8.9233       2.61083      0.941479      2.43641     2.6574      39.3795         4.25044       39.4199          1.88168          0.0404132
0.06                1.35099      1.6766    8.9234       2.61073      0.941479      2.4363     2.65734      39.3795         4.25049       39.4199          1.88168          0.0404132
0.07                1.34907      1.6786    8.9214       2.61204      0.942169      2.43771     2.65843      39.716         4.24954       39.7519          1.42146          0.0359183
0.07                1.34917      1.6785    8.9215       2.61194      0.942169      2.4376     2.65837      39.716         4.24959       39.7519          1.42146          0.0359183
0.07                1.34927      1.6784    8.9216       2.61184      0.942169      2.43749     2.65832      39.716         4.24963       39.7519          1.42146          0.0359183
0.07                1.34936      1.6783    8.9217       2.61174      0.942169      2.43739     2.65826      39.716         4.24968       39.7519          1.42146          0.0359183
0.07                1.34946      1.6782    8.9218       2.61164      0.942169      2.43728     2.65821      39.716         4.24973       39.7519          1.42146          0.0359183
0.07                1.34955      1.6781    8.9219       2.61154      0.942169      2.43717     2.65816      39.716         4.24978       39.7519          1.42146          0.0359183
0.07                1.34965      1.678    8.922       2.61144      0.942169      2.43706     2.6581      39.716         4.24982       39.7519          1.42146          0.0359183
0.07                1.34974      1.6779    8.9221       2.61134      0.942169      2.43696     2.65805      39.716         4.24987       39.7519          1.42146          0.0359183
0.07                1.34984      1.6778    8.9222       2.61124      0.942169      2.43685     2.65799      39.716         4.24992       39.7519          1.42146          0.0359183
0.07                1.34993      1.6777    8.9223       2.61114      0.942169      2.43674     2.65794      39.716         4.24997       39.7519          1.42146          0.0359183
0.07                1.35003      1.6776    8.9224       2.61104      0.942169      2.43664     2.65789      39.716         4.25001       39.7519          1.42146          0.0359183
0.07                1.35013      1.6775    8.9225       2.61094      0.942169      2.43653     2.65783      39.716         4.25006       39.7519          1.42146          0.0359183
0.07                1.35022      1.6774    8.9226       2.61084      0.942169      2.43642     2.65778      39.716         4.25011       39.7519          1.42146          0.0359183
0.07                1.35032      1.6773    8.9227       2.61074      0.942169      2.43631     2.65772      39.716         4.25016       39.7519          1.42146          0.0359183
0.07                1.35041      1.6772    8.9228       2.61064      0.942169      2.43621     2.65767      39.716         4.25021       39.7519          1.42146          0.0359183
0.07                1.35051      1.6771    8.9229       2.61054      0.942169      2.4361     2.65762      39.716         4.25025       39.7519          1.42146          0.0359183
0.07                1.3506      1.677    8.923       2.61044      0.942169      2.43599     2.65756      39.716         4.2503       39.7519          1.42146          0.0359183
0.07                1.3507      1.6769    8.9231       2.61034      0.942169      2.43589     2.65751      39.716         4.25035       39.7519          1.42146          0.0359183
0.07                1.35079      1.6768    8.9232       2.61024      0.942169      2.43578     2.65745      39.716         4.2504       39.7519          1.42146          0.0359183
0.07                1.35089      1.6767    8.9233       2.61014      0.942169      2.43567     2.6574      39.716         4.25044       39.7519          1.42146          0.0359183
0.07                1.35099      1.6766    8.9234       2.61004      0.942169      2.43556     2.65734      39.716         4.25049       39.7519          1.42146          0.0359183
0.08                1.34907      1.6786    8.9214       2.61125      0.942965      2.43685     2.65843      40.0477         4.24954       40.0612          0.465091          0.0135439
0.08                1.34917      1.6785    8.9215       2.61115      0.942965      2.43675     2.65837      40.0477         4.24959       40.0612          0.465091          0.0135439
0.08                1.34927      1.6784    8.9216       2.61105      0.942965      2.43664     2.65832      40.0477         4.24963       40.0612          0.465091          0.0135439
0.08                1.34936      1.6783    8.9217       2.61095      0.942965      2.43653     2.65826      40.0477         4.24968       40.0612          0.465091          0.0135439
0.08                1.34946      1.6782    8.9218       2.61085      0.942965      2.43643     2.65821      40.0477         4.24973       40.0612          0.465091          0.0135439
0.08                1.34955      1.6781    8.9219       2.61075      0.942965      2.43632     2.65816      40.0477         4.24978       40.0612          0.465091          0.0135439
0.08                1.34965      1.678    8.922       2.61065      0.942965      2.43621     2.6581      40.0477         4.24982       40.0612          0.465091          0.0135439
0.08                1.34974      1.6779    8.9221       2.61055      0.942965      2.4361     2.65805      40.0477         4.24987       40.0612          0.465091          0.0135439
0.08                1.34984      1.6778    8.9222       2.61045      0.942965      2.436     2.65799      40.0477         4.24992       40.0612          0.465091          0.0135439
0.08                1.34993      1.6777    8.9223       2.61035      0.942965      2.43589     2.65794      40.0477         4.24997       40.0612          0.465091          0.0135439
0.08                1.35003      1.6776    8.9224       2.61025      0.942965      2.43578     2.65789      40.0477         4.25001       40.0612          0.465091          0.0135439
0.08                1.35013      1.6775    8.9225       2.61015      0.942965      2.43568     2.65783      40.0477         4.25006       40.0612          0.465091          0.0135439
0.08                1.35022      1.6774    8.9226       2.61005      0.942965      2.43557     2.65778      40.0477         4.25011       40.0612          0.465091          0.0135439
0.08                1.35032      1.6773    8.9227       2.60995      0.942965      2.43546     2.65772      40.0477         4.25016       40.0612          0.465091          0.0135439
0.08                1.35041      1.6772    8.9228       2.60985      0.942965      2.43535     2.65767      40.0477         4.25021       40.0612          0.465091          0.0135439
0.08                1.35051      1.6771    8.9229       2.60975      0.942965      2.43525     2.65762      40.0477         4.25025       40.0612          0.465091          0.0135439
0.08                1.3506      1.677    8.923       2.60965      0.942965      2.43514     2.65756      40.0477         4.2503       40.0612          0.465091          0.0135439
0.08                1.3507      1.6769    8.9231       2.60955      0.942965      2.43503     2.65751      40.0477         4.25035       40.0612          0.465091          0.0135439
0.08                1.35079      1.6768    8.9232       2.60945      0.942965      2.43493     2.65745      40.0477         4.2504       40.0612          0.465091          0.0135439
0.08                1.35089      1.6767    8.9233       2.60935      0.942965      2.43482     2.6574      40.0477         4.25044       40.0612          0.465091          0.0135439
0.08                1.35099      1.6766    8.9234       2.60925      0.942965      2.43471     2.65734      40.0477         4.25049       40.0612          0.465091          0.0135439
0.09                1.34907      1.6786    8.9214       2.61035      0.943866      2.43589     2.65843      40.3726         4.24954       40.4177          1.36295          0.0450135
0.09                1.34917      1.6785    8.9215       2.61025      0.943866      2.43578     2.65837      40.3726         4.24959       40.4177          1.36295          0.0450135
0.09                1.34927      1.6784    8.9216       2.61015      0.943866      2.43567     2.65832      40.3726         4.24963       40.4177          1.36295          0.0450135
0.09                1.34936      1.6783    8.9217       2.61005      0.943866      2.43557     2.65826      40.3726         4.24968       40.4177          1.36295          0.0450135
0.09                1.34946      1.6782    8.9218       2.60995      0.943866      2.43546     2.65821      40.3726         4.24973       40.4177          1.36295          0.0450135
0.09                1.34955      1.6781    8.9219       2.60985      0.943866      2.43535     2.65816      40.3726         4.24978       40.4177          1.36295          0.0450135
0.09                1.34965      1.678    8.922       2.60975      0.943866      2.43525     2.6581      40.3726         4.24982       40.4177          1.36295          0.0450135
0.09                1.34974      1.6779    8.9221       2.60965      0.943866      2.43514     2.65805      40.3726         4.24987       40.4177          1.36295          0.0450135
0.09                1.34984      1.6778    8.9222       2.60955      0.943866      2.43503     2.65799      40.3726         4.24992       40.4177          1.36295          0.0450135
